"country","year","Party","Seats","Banzhaf Power Index","perc of seats","Shapley-Shubik Power Index"
"Albania","2005","Social Democracy Party of Albania",2,0.0201305011801,0.0142857142857,0.0174131424131
"Albania","2005","Independent",1,0.0101346661113,0.00714285714286,0.00875513375513
"Albania","2005","Liberal Democrat Party",1,0.0101346661113,0.00714285714286,0.00875513375513
"Albania","2005","Christian Democratic Party of Albania",2,0.0201305011801,0.0142857142857,0.0174131424131
"Albania","2005","Party for Human Rights",2,0.0201305011801,0.0142857142857,0.0174131424131
"Albania","2005","Democratic Alliance Party",3,0.030403998334,0.0214285714286,0.0276945276945
"Albania","2005","New Democratic Party",4,0.0403998334027,0.0285714285714,0.0368575868576
"Albania","2005","Environmentalist Agrarian Party",4,0.0403998334027,0.0285714285714,0.0368575868576
"Albania","2005","Socialist Movement for Integration",5,0.0506733305567,0.0357142857143,0.0455516705517
"Albania","2005","Social Democratic Party",7,0.07732889074,0.05,0.0672688422688
"Albania","2005","Republican Party",11,0.111481327225,0.0785714285714,0.119252969253
"Albania","2005","Socialist Party of Albania",42,0.117312231015,0.3,0.155111555112
"Albania","2005","Democratic Party",56,0.451339719561,0.4,0.441655566656
"Australia","1993","Australian Labor Party",80,1,0.544217687075,1
"Australia","1993","Liberal Party of Australia",49,0,0.333333333333,0
"Australia","1993","Independent",2,0,0.0136054421769,0
"Australia","1993","National Party of Australia",16,0,0.108843537415,0
"Australia","1996","Australian Labor Party",49,0,0.331081081081,0
"Australia","1996","Liberal Party of Australia",76,1,0.513513513514,1
"Australia","1996","Independent",4,0,0.027027027027,0
"Australia","1996","Northern Territory Country Liberal Party",1,0,0.00675675675676,0
"Australia","1996","National Party of Australia",18,0,0.121621621622,0
"Australia","1998","Australian Labor Party",67,0.333333333333,0.452702702703,0.333333333333
"Australia","1998","Independent",1,0,0.00675675675676,0
"Australia","1998","National Party of Australia",16,0.333333333333,0.108108108108,0.333333333333
"Australia","1998","Liberal Party of Australia",64,0.333333333333,0.432432432432,0.333333333333
"Australia","2001","National Party of Australia",13,0.333333333333,0.0866666666667,0.333333333333
"Australia","2001","Independent",3,0,0.02,0
"Australia","2001","Pauline Hansons One Nation",1,0,0.00666666666667,0
"Australia","2001","Northern Territory Country Liberal Party",1,0,0.00666666666667,0
"Australia","2001","Australian Labor Party",65,0.333333333333,0.433333333333,0.333333333333
"Australia","2001","Liberal Party of Australia",67,0.333333333333,0.446666666667,0.333333333333
"Austria","1945","Austrian Communist Party",4,0,0.0242424242424,0
"Austria","1945","Austrian Socialist Party",76,0,0.460606060606,0
"Austria","1945","Austrian Peoples Party",85,1,0.515151515152,1
"Austria","1949","Austrian Communist Party-Left Socialists",5,0,0.030303030303,0
"Austria","1949","Austrian Socialist Party",67,0.333333333333,0.406060606061,0.333333333333
"Austria","1949","Electoral Party of Independents",16,0.333333333333,0.0969696969697,0.333333333333
"Austria","1949","Austrian Peoples Party",77,0.333333333333,0.466666666667,0.333333333333
"Austria","1953","Electoral Party of Independents",14,0.333333333333,0.0848484848485,0.333333333333
"Austria","1953","Austrian Peoples Opposition",4,0,0.0242424242424,0
"Austria","1953","Austrian Socialist Party",74,0.333333333333,0.448484848485,0.333333333333
"Austria","1953","Austrian Peoples Party",73,0.333333333333,0.442424242424,0.333333333333
"Austria","1956","Austrian Socialist Party",74,0.166666666667,0.448484848485,0.166666666667
"Austria","1956","Communist and Socialist List",3,0.166666666667,0.0181818181818,0.166666666667
"Austria","1956","Freedom Party of Austria",6,0.166666666667,0.0363636363636,0.166666666667
"Austria","1956","Austrian Peoples Party",82,0.5,0.49696969697,0.5
"Austria","1959","Austrian Peoples Party",79,0.333333333333,0.478787878788,0.333333333333
"Austria","1959","Freedom Party of Austria",8,0.333333333333,0.0484848484848,0.333333333333
"Austria","1959","Austrian Socialist Party",78,0.333333333333,0.472727272727,0.333333333333
"Austria","1962","Austrian Socialist Party",76,0.333333333333,0.460606060606,0.333333333333
"Austria","1962","Austrian Peoples Party",81,0.333333333333,0.490909090909,0.333333333333
"Austria","1962","Freedom Party of Austria",8,0.333333333333,0.0484848484848,0.333333333333
"Austria","1966","Austrian Socialist Party",74,0,0.448484848485,0
"Austria","1966","Austrian Peoples Party",85,1,0.515151515152,1
"Austria","1966","Freedom Party of Austria",6,0,0.0363636363636,0
"Austria","1970","Austrian Peoples Party",78,0.333333333333,0.472727272727,0.333333333333
"Austria","1970","Austrian Socialist Party",81,0.333333333333,0.490909090909,0.333333333333
"Austria","1970","Freedom Party of Austria",6,0.333333333333,0.0363636363636,0.333333333333
"Austria","1971","Freedom Party of Austria",10,0,0.0546448087432,0
"Austria","1971","Austrian Peoples Party",80,0,0.437158469945,0
"Austria","1971","Austrian Socialist Party",93,1,0.508196721311,1
"Austria","1975","Austrian Socialist Party",93,1,0.508196721311,1
"Austria","1975","Austrian Peoples Party",80,0,0.437158469945,0
"Austria","1975","Freedom Party of Austria",10,0,0.0546448087432,0
"Austria","1979","Austrian Socialist Party",95,1,0.51912568306,1
"Austria","1979","Austrian Peoples Party",77,0,0.420765027322,0
"Austria","1979","Freedom Party of Austria",11,0,0.0601092896175,0
"Austria","1983","Austrian Socialist Party",90,0.333333333333,0.491803278689,0.333333333333
"Austria","1983","Austrian Peoples Party",81,0.333333333333,0.44262295082,0.333333333333
"Austria","1983","Freedom Party of Austria",12,0.333333333333,0.0655737704918,0.333333333333
"Austria","1986","Freedom Party of Austria",18,0.333333333333,0.0983606557377,0.333333333333
"Austria","1986","Green Alternative-Freda Meissner Blau List",8,0,0.0437158469945,0
"Austria","1986","Austrian Socialist Party",80,0.333333333333,0.437158469945,0.333333333333
"Austria","1986","Austrian Peoples Party",77,0.333333333333,0.420765027322,0.333333333333
"Austria","1990","Austrian Peoples Party",60,0.333333333333,0.327868852459,0.333333333333
"Austria","1990","Freedom Party of Austria",33,0.333333333333,0.180327868852,0.333333333333
"Austria","1990","Green Alternatie/Green in Parliament",10,0,0.0546448087432,0
"Austria","1990","Austrian Socialist Party",80,0.333333333333,0.437158469945,0.333333333333
"Austria","1994","Austrian Socialist Party",65,0.333333333333,0.355191256831,0.333333333333
"Austria","1994","Austrian Peoples Party",52,0.333333333333,0.284153005464,0.333333333333
"Austria","1994","Green Alternatie/Green in Parliament",13,0,0.0710382513661,0
"Austria","1994","Freedom Party of Austria",42,0.333333333333,0.229508196721,0.333333333333
"Austria","1994","Liberal Forum",11,0,0.0601092896175,0
"Austria","1995","Austrian Peoples Party",52,0.333333333333,0.284153005464,0.333333333333
"Austria","1995","Freedom Party of Austria",41,0.333333333333,0.224043715847,0.333333333333
"Austria","1995","Liberal Forum",10,0,0.0546448087432,0
"Austria","1995","Green Alternatie/Green in Parliament",9,0,0.0491803278689,0
"Austria","1995","Austrian Socialist Party",71,0.333333333333,0.387978142077,0.333333333333
"Austria","1999","Green Alternatie/Green in Parliament",14,0,0.0765027322404,0
"Austria","1999","Freedom Party of Austria",52,0.333333333333,0.284153005464,0.333333333333
"Austria","1999","Austrian Peoples Party",52,0.333333333333,0.284153005464,0.333333333333
"Austria","1999","Austrian Socialist Party",65,0.333333333333,0.355191256831,0.333333333333
"Austria","2002","Green Alternatie/Green in Parliament",17,0.166666666667,0.0928961748634,0.166666666667
"Austria","2002","Freedom Party of Austria",18,0.166666666667,0.0983606557377,0.166666666667
"Austria","2002","Austrian Peoples Party",79,0.5,0.431693989071,0.5
"Austria","2002","Austrian Socialist Party",69,0.166666666667,0.377049180328,0.166666666667
"Austria","2006","Alliance for the Future of Austria",7,0.142857142857,0.0382513661202,0.133333333333
"Austria","2006","Austrian Socialist Party",68,0.285714285714,0.371584699454,0.3
"Austria","2006","Austrian Peoples Party",66,0.285714285714,0.360655737705,0.3
"Austria","2006","Green Alternatie/Green in Parliament",21,0.142857142857,0.114754098361,0.133333333333
"Austria","2006","Freedom Party of Austria",21,0.142857142857,0.114754098361,0.133333333333
"Austria","2008","Austrian Socialist Party",57,0.285714285714,0.311475409836,0.3
"Austria","2008","Austrian Peoples Party",51,0.285714285714,0.27868852459,0.3
"Austria","2008","Green Alternatie/Green in Parliament",20,0.142857142857,0.109289617486,0.133333333333
"Austria","2008","Alliance for the Future of Austria",21,0.142857142857,0.114754098361,0.133333333333
"Austria","2008","Freedom Party of Austria",34,0.142857142857,0.185792349727,0.133333333333
"Austria","2013","Austrian Peoples Party",47,0.269230769231,0.256830601093,0.266666666667
"Austria","2013","FRANK",11,0.0384615384615,0.0601092896175,0.0333333333333
"Austria","2013","Liberal Forum",9,0.0384615384615,0.0491803278689,0.0333333333333
"Austria","2013","Freedom Party of Austria",40,0.269230769231,0.218579234973,0.266666666667
"Austria","2013","Austrian Socialist Party",52,0.346153846154,0.284153005464,0.366666666667
"Austria","2013","Green Alternatie/Green in Parliament",24,0.0384615384615,0.131147540984,0.0333333333333
"Belgium","1978","RAD/UDRT",1,0.00408632745104,0.00478468899522,0.00374364197894
"Belgium","1978","PSC/CSP",2,0.00817265490208,0.00956937799043,0.00759257082786
"Belgium","1978","KPB/PCB",1,0.00408632745104,0.00478468899522,0.00374364197894
"Belgium","1978","VLBLOK",1,0.00408632745104,0.00478468899522,0.00374364197894
"Belgium","1978","PSB",1,0.00408632745104,0.00478468899522,0.00374364197894
"Belgium","1978","BSP",26,0.11293398311,0.124401913876,0.119316957552
"Belgium","1978","PSB",30,0.131277053001,0.143540669856,0.135800474036
"Belgium","1978","CVP",57,0.334927505524,0.272727272727,0.330128368364
"Belgium","1978","PSC",23,0.101068498956,0.11004784689,0.105175543411
"Belgium","1978","PVV",22,0.0982837424706,0.105263157895,0.102228490464
"Belgium","1978","VU",14,0.0649877410176,0.066985645933,0.0614248496601
"Belgium","1978","FDF",11,0.0488240457669,0.0526315789474,0.0454574836928
"Belgium","1978","BSP/PSB",1,0.00408632745104,0.00478468899522,0.00374364197894
"Belgium","1978","PRLW",11,0.0488240457669,0.0526315789474,0.0454574836928
"Belgium","1978","PRLW/PRF",2,0.00817265490208,0.00956937799043,0.00759257082786
"Belgium","1978","PL",1,0.00408632745104,0.00478468899522,0.00374364197894
"Belgium","1978","RW",5,0.0180101098768,0.0239234449761,0.0173633555986
"Belgium","1981","AGALEV",2,0.00926727145848,0.00943396226415,0.00848040848041
"Belgium","1981","PCB",2,0.00926727145848,0.00943396226415,0.00848040848041
"Belgium","1981","FDF/RW",8,0.0379623168179,0.0377358490566,0.0362692862693
"Belgium","1981","PS",34,0.166364270761,0.160377358491,0.17286047286
"Belgium","1981","CVP",48,0.251081646895,0.22641509434,0.25568043068
"Belgium","1981","RA/UDRT",3,0.0141242149337,0.0141509433962,0.0129120879121
"Belgium","1981","PVV",24,0.108192602931,0.11320754717,0.10911033411
"Belgium","1981","SP",26,0.118520586183,0.122641509434,0.118642468642
"Belgium","1981","PSC/CSP",2,0.00926727145848,0.00943396226415,0.00848040848041
"Belgium","1981","ECOLO",2,0.00926727145848,0.00943396226415,0.00848040848041
"Belgium","1981","PRL/PFF",2,0.00926727145848,0.00943396226415,0.00848040848041
"Belgium","1981","SP/PS",1,0.00471737613398,0.00471698113208,0.00439282939283
"Belgium","1981","VLBLOK",1,0.00471737613398,0.00471698113208,0.00439282939283
"Belgium","1981","PSC",16,0.0648709002094,0.0754716981132,0.0639665889666
"Belgium","1981","VU",19,0.0848011165387,0.0896226415094,0.0813936063936
"Belgium","1981","PRL",22,0.098311235171,0.103773584906,0.097977022977
"Belgium","1985","PVV",22,0.0962168430207,0.103773584906,0.0969225219225
"Belgium","1985","PRL/PFF",1,0.00431946658936,0.00471698113208,0.0046176046176
"Belgium","1985","RAD/UDRT",1,0.00431946658936,0.00471698113208,0.0046176046176
"Belgium","1985","SP/PS",2,0.00866792288737,0.00943396226415,0.00948218448218
"Belgium","1985","PSC/CSP",2,0.00866792288737,0.00943396226415,0.00948218448218
"Belgium","1985","PS",33,0.161153790404,0.155660377358,0.162254412254
"Belgium","1985","SP",32,0.154949992753,0.150943396226,0.154353979354
"Belgium","1985","FDF",3,0.012378605595,0.0141509433962,0.013628038628
"Belgium","1985","AGALEV",4,0.0162632265546,0.0188679245283,0.0171939171939
"Belgium","1985","ECOLO",5,0.0204377446007,0.0235849056604,0.0211455211455
"Belgium","1985","VU",16,0.0656037106827,0.0754716981132,0.0619741369741
"Belgium","1985","PSC",18,0.0776054500652,0.0849056603774,0.0740287490287
"Belgium","1985","VLBLOK",1,0.00431946658936,0.00471698113208,0.0046176046176
"Belgium","1985","CVP",49,0.266444412234,0.231132075472,0.263566988567
"Belgium","1985","PRL",23,0.0986519785476,0.108490566038,0.102114552115
"Belgium","1987","PRL",23,0.107664233577,0.108490566038,0.107142857143
"Belgium","1987","PSC",19,0.0857664233577,0.0896226415094,0.0829365079365
"Belgium","1987","VU",16,0.0757299270073,0.0754716981132,0.072619047619
"Belgium","1987","CVP",43,0.216240875912,0.202830188679,0.221031746032
"Belgium","1987","ECOLO",3,0.0127737226277,0.0141509433962,0.0115079365079
"Belgium","1987","FDF",3,0.0127737226277,0.0141509433962,0.0115079365079
"Belgium","1987","VLBLOK",2,0.00821167883212,0.00943396226415,0.00753968253968
"Belgium","1987","AGALEV",6,0.029197080292,0.0283018867925,0.0269841269841
"Belgium","1987","PS",40,0.198905109489,0.188679245283,0.204761904762
"Belgium","1987","SP",32,0.136861313869,0.150943396226,0.137301587302
"Belgium","1987","PVV",25,0.115875912409,0.117924528302,0.116666666667
"Belgium","1991","SP",28,0.130973637223,0.132075471698,0.132126207126
